Pattern,Print,Fabric,Native_Product_Id,Primary_Colour
Checked,Checked,Silk Blend,15038412,Beige
Checked,Checked,Silk Blend,15038412,Beige
Woven,Floral,Silk Blend,13067968,Navy Blue
Checked,Checked,Silk Blend,15038412,Beige
Embroidered,Striped,Organza,10711492,Yellow
Checked,Checked,Art Silk,9146177,Cream
Woven,Ethnic Motifs,Silk Blend,10711460,Red
Checked,Checked,Silk Blend,15038412,Beige
Printed,Abstract Print,Silk Blend,9388527,Rust
Printed,Ethnic Motifs,Art Silk,11527812,Blue
Embroidered,Geometric Print,Pure Cotton,11918564,White
Woven,Ethnic Motifs,Cotton Silk,11624090,Black
Printed,Ethnic Motifs,Cotton Blend,13639388,Pink
Embroidered,Solid,Organza,13078428,Red
Striped,Striped,,1618200,Blue
Embroidered,Floral,Silk Blend,2170208,Multi-Colour
Printed,Ethnic Motifs,Cotton Blend,10003723,Black
Woven,Ethnic Motifs,Silk Blend,10711398,Blue
Printed,Geometric Print,Cotton Blend,2399966,Blue
Printed,Ethnic Motifs,Satin,2452447,Multi-Colour
Embroidered,Floral,Net,10588024,White
Embroidered,Floral,Net,13576754,Lavender
Embroidered,Ethnic Motifs,Poly Chiffon,11579060,Navy Blue
Striped,Striped,Pure Cotton,6975682,Blue
Woven,Ethnic Motifs,Silk Blend,7463491,Green
Printed,Floral,Silk Blend,7461981,Multi-Colour
Woven,Solid,Cotton Silk,5660831,Rust
Checked,Checked,Silk Blend,15038412,Beige
Solid,Solid,Net,11536158,Blue
Embroidered,Floral,Poly Chiffon,11579080,Red
Embroidered,Floral,Net,15038348,White
Printed,Bandhani,,1402296,Blue
Solid,Solid,Cotton Silk,10358137,Yellow
Embroidered,Ethnic Motifs,Cotton Silk,7689347,Cream
Woven,Ethnic Motifs,Silk Blend,11631726,Navy Blue
Checked,Checked,Silk Blend,15038412,Beige
Embroidered,Solid,Silk Blend,11392592,Red
Dyed,Abstract Print,Silk Blend,15241444,Yellow
Solid,Solid,Net,5505189,Pink
Embroidered,Geometric Print,Silk Blend,15241508,Maroon
Self-Checked,Checked,,996695,Black
Woven,Ethnic Motifs,Art Silk,10810216,Mustard
Printed,Floral,Art Silk,9720537,Green
Embroidered,Geometric Print,Pure Cotton,10581794,Orange
Printed,Ethnic Motifs,Silk Blend,9180655,Pink
Embroidered,Floral,Organza,7689320,Sea Green
Woven,Ethnic Motifs,Cotton Blend,5425464,Black
Woven,Solid,Cotton Silk,5660820,Red
Woven,Ethnic Motifs,Silk Blend,11703764,Yellow
Printed,Ethnic Motifs,Cotton Silk,11379774,Blue
Woven,Floral,Art Silk,11775066,Navy Blue
Solid,Floral,Net,7241415,Maroon
Solid,Solid,Poly Chiffon,12456656,Black
Solid,Solid,Organza,14160416,Grey
Printed,Geometric Print,Art Silk,9720549,Orange
Printed,Abstract Print,Art Silk,10452026,Blue
Checked,Checked,Silk Blend,15038412,Beige
Embroidered,Floral,Organza,7241414,Green
Printed,Ethnic Motifs,Art Silk,4427268,White
